course_name,platform,skills_taught,course_url,difficulty,rating,predicted_rating_rf,predicted_rating_catboost
Exploring Renewable Energy Schemes,University of Pennsylvania,"['Energy Audits', 'Energy Systems', 'Renewable Energy', 'Power and Energy Calculations', 'Photovoltaic System Design']",https://www.coursera.org/learn/exploring-renewable-energy,Beginner level,4.7,4.6925000000000034,4.282876051143988
IELTS Listening and Speaking Sections Skills Mastery,"University of California, Irvine",[],https://www.coursera.org/learn/ielts-listening-speaking,Beginner level,4.6,4.50100000000001,4.556759511178546
Healing with the Arts,University of Florida,"['Music', 'Art', 'Meditation', 'Visual Arts']",https://www.coursera.org/learn/healing-with-the-arts,None,4.6,4.32550000000001,4.542961992240981
Applied ChatGPT for Cybersecurity,Infosec,"['Computer Security Incident Management', 'Artificial Neural Network', 'Cyberattacks', 'Network Security', 'Information Security (INFOSEC)']",https://www.coursera.org/learn/chatgpt-for-cybersecurity,Intermediate level,4.5,3.5334999999999983,2.3807899192696844
"Korean Music, A Philosophical Exploration",Sungkyunkwan University,"['Philosophy', 'Music', 'History', 'Culture', 'Korean philosophy']",https://www.coursera.org/learn/korean-music-a-philosophical-exploration,Intermediate level,0.0,1.4840000000000004,1.0875525127301264
Financial Forecasting and Reporting,University of Colorado Boulder,"['Understanding Corporate Financial Statements', 'Budgeting Techniques for Cost and Profit Centers', 'Risk Management: Scenario and Sensitivity Analysis']",https://www.coursera.org/learn/financial-forecasting-and-reporting,Intermediate level,4.7,4.37750000000001,4.296657279688997
Responsible AI for Developers Specialization,Google Cloud,"['Google Cloud', 'Generative AI', 'Vertex AI', 'Machine Learning', 'Responsible AI', 'Google Cloud', 'Generative AI', 'Vertex AI', 'Machine Learning', 'Responsible AI']",https://www.coursera.org/specializations/responsible-ai-for-developers,Intermediate level,4.9,3.1059999999999963,3.175489448767376
Clinical Trials Data Management and Quality Assurance,Johns Hopkins University,"['Data Collection', 'Statistical Analysis', 'Monitoring', 'Data Management', 'Clinical Data Management']",https://www.coursera.org/learn/clinical-trials-data-collection-management-quality-assurance,Beginner level,4.8,4.091499999999993,4.446512642152374
Design Thinking: Insights to Inspiration,University of Virginia,"['Strategic Thinking', 'Innovation', 'Innovation Management', 'Design Thinking']",https://www.coursera.org/learn/uva-darden-design-thinking-insights-to-inspiration,Beginner level,4.7,4.636000000000011,4.599474538769591
The Pronunciation of American English Project,"University of California, Irvine",[],https://www.coursera.org/learn/pronunciation-american-english-project,Beginner level,4.7,2.669500000000001,3.1728419875392726
Introduction to Cloud Identity,Google Cloud,"['Identity Management (IDM)', 'Google', 'Cloud Computing', 'Security Assertion Markup Language (SAML)']",https://www.coursera.org/learn/cloud-identity,Beginner level,4.6,4.470500000000011,4.373504378587194
Self-Driving Cars Specialization,University of Toronto,[],https://www.coursera.org/specializations/self-driving-cars,Advanced level,4.7,3.622500000000001,3.578036489797159
Getting Started with Data Visualization in R,Johns Hopkins University,[],https://www.coursera.org/learn/jhu-getting-started-data-viz-r,Beginner level,4.8,4.455499999999989,4.376338631441281
Digital Channel Planning and E-Commerce Strategy,Digital Marketing Institute,"['E-Commerce Strategy', 'Search Engine Marketing (SEM) Strategy', 'Digital Channel Planning', 'Social Media and Email Marketing Strategy', 'Display and Video Advertising Strategy']",https://www.coursera.org/learn/digital-channel-planning-ecommerce-strategy,Beginner level,4.6,4.147000000000009,4.293046599170621
Browser-based Models with TensorFlow.js,DeepLearning.AI,"['Tensorflow', 'Convolutional Neural Network', 'Object Detection', 'Machine Learning', 'TensorFlow.js']",https://www.coursera.org/learn/browser-based-models-tensorflow,Intermediate level,4.8,4.392000000000002,3.805608652575449
Human Factors & Usability Engineering: Designing for Humans Specialization,Arizona State University,"['Usability', 'Human performance', 'Human-Centered Design', 'Visual interface and designs', 'Field of human factors', 'Usability', 'Human performance', 'Human-Centered Design', 'Visual interface and designs', 'Field of human factors']",https://www.coursera.org/specializations/human-factors-and-usability-engineering-designing-for-humans,Intermediate level,4.8,4.31999999999999,4.560202792311773
Data Engineering in AWS,Whizlabs,"['Information Engineering', 'Machine Learning', 'Amazon Web Services (Amazon AWS)']",https://www.coursera.org/learn/data-engineering-in-aws,Beginner level,3.6,0.7265,1.014097834918371
Swift 5 iOS Application Developer Specialization,LearnQuest,"['iOS App Development', 'Xcode', 'Swift 5', 'Application development', 'AppStore Purchases', 'iOS App Development', 'Xcode', 'Swift 5', 'Application development', 'AppStore Purchases']",https://www.coursera.org/specializations/swift-5-ios-app-developer,Beginner level,4.5,4.169999999999999,4.369362450831127
Politics and Economics of International Energy,Sciences Po,[],https://www.coursera.org/learn/global-energy,Beginner level,4.7,4.69,4.6543451873091435
Cross-border road transport in EU law context,Erasmus University Rotterdam,[],https://www.coursera.org/learn/transport-eu-law,Advanced level,0.0,1.523,1.6726058578789793
